,timestamp,type,player,payload.object_ids,payload.sequence,payload.amount,payload.unit_id,payload.unit,payload.building_id,payload.building,position.x,position.y,payload.target_id,payload.target_type,payload.order_id,payload.slot_id,payload.x,payload.y,payload.order,payload.technology_id,payload.technology,payload.stance_id,payload.stance,payload.x_end,payload.y_end,payload.formation_id,payload.formation,payload.resource_id,payload.resource,payload.command_id,payload.command
0,0 days 00:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0 days 00:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0 days 00:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0 days 00:00:00.624000,DE_TRANSFORM,2,[1650],624,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0 days 00:00:00.936000,DE_QUEUE,2,[1942],936,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
6,0 days 00:00:01.560000,BUILD,2,"[1963, 1961]",1560,,,,70.0,House,12.0,49.0,,,,,,,,,,,,,,,,,,,
9,0 days 00:00:02.392000,BUILD,2,[1967],2392,,,,70.0,House,28.0,49.0,,,,,,,,,,,,,,,,,,,
12,0 days 00:00:02.938000,MOVE,2,[129171456],2938,,,,,,18.6875,58.5625,,,,,,,,,,,,,,,,,,,
15,0 days 00:00:04.355000,MOVE,2,[153878528],4355,,,,,,21.41666603088379,50.875,,,,,,,,,,,,,,,,,,,
18,0 days 00:00:04.758000,MOVE,2,[153878528],4758,,,,,,21.46875,50.76041793823242,,,,,,,,,,,,,,,,,,,
19,0 days 00:00:05.369000,MOVE,2,[129171456],5369,,,,,,17.6875,61.8125,,,,,,,,,,,,,,,,,,,
20,0 days 00:00:05.577000,MOVE,2,[129171456],5577,,,,,,17.58333396911621,62.58333206176758,,,,,,,,,,,,,,,,,,,
24,0 days 00:00:06.591000,MOVE,2,[153681920],6591,,,,,,41.71875,67.05208587646484,,,,,,,,,,,,,,,,,,,
28,0 days 00:00:07.605000,MOVE,2,"[154075136, 153944064]",7605,,,,,,37.79166793823242,77.83333587646484,,,,,,,,,,,,,,,,,,,
31,0 days 00:00:08.619000,MOVE,2,[129171456],8619,,,,,,0.5,84.0,,,,,,,,,,,,,,,,,,,
34,0 days 00:00:09.022000,DE_QUEUE,2,[1942],9022,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
