,timestamp,type,player,payload.object_ids,payload.sequence,payload.amount,payload.unit_id,payload.unit,payload.building_id,payload.building,position.x,position.y,payload.target_id,payload.target_type,payload.order_id,payload.slot_id,payload.x,payload.y,payload.order,payload.technology_id,payload.technology,payload.stance_id,payload.stance,payload.x_end,payload.y_end,payload.formation_id,payload.formation,payload.resource_id,payload.resource,payload.command_id,payload.command
0,0:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0:00:00.520000,DE_TRANSFORM,2,[1650],520,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0:00:00.624000,DE_TRANSFORM,2,[1650],624,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0:00:00.728000,DE_QUEUE,1,[1935],728,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
5,0:00:00.936000,DE_QUEUE,2,[1942],936,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
6,0:00:01.560000,BUILD,2,"[1963, 1961]",1560,,,,70.0,House,12.0,49.0,,,,,,,,,,,,,,,,,,,
7,0:00:01.768000,BUILD,1,"[1959, 1957]",1768,,,,70.0,House,100.0,81.0,,,,,,,,,,,,,,,,,,,
8,0:00:02.392000,BUILD,1,[1965],2392,,,,70.0,House,106.0,71.0,,,,,,,,,,,,,,,,,,,
9,0:00:02.392000,BUILD,2,[1967],2392,,,,70.0,House,28.0,49.0,,,,,,,,,,,,,,,,,,,
10,0:00:02.730000,MOVE,1,[129040384],2730,,,,,,95.28125,68.28125,,,,,,,,,,,,,,,,,,,
11,0:00:02.938000,MOVE,1,[129040384],2938,,,,,,94.125,67.29166412353516,,,,,,,,,,,,,,,,,,,
12,0:00:02.938000,MOVE,2,[129171456],2938,,,,,,18.6875,58.5625,,,,,,,,,,,,,,,,,,,
13,0:00:03.744000,DE_QUEUE,1,[1935],3744,1.0,83.0,Villager,,,,,,,,,,,,,,,,,,,,,,,
14,0:00:04.355000,MOVE,1,"[153616384, 154009600]",4355,,,,,,96.04166412353516,73.45833587646484,,,,,,,,,,,,,,,,,,,
15,0:00:04.355000,MOVE,2,[153878528],4355,,,,,,21.41666603088379,50.875,,,,,,,,,,,,,,,,,,,
16,0:00:04.563000,MOVE,1,[153878528],4563,,,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,
17,0:00:04.758000,MOVE,1,[153878528],4758,,,,,,96.36458587646484,72.53125,,,,,,,,,,,,,,,,,,,
18,0:00:04.758000,MOVE,2,[153878528],4758,,,,,,21.46875,50.76041793823242,,,,,,,,,,,,,,,,,,,
19,0:00:05.369000,MOVE,2,[129171456],5369,,,,,,17.6875,61.8125,,,,,,,,,,,,,,,,,,,
